perdido,imagen,politica,rep,responde,hit_perdido,hit_sustituto,palabras,consultas,a_perdido,a_otro,rechazadas
car,car7-090-202.png,descripcion,0,True,True,False,engine wheel vehicle,,,,
car,car14-045-270.png,vivido,0,False,False,False,,,,,
car,car14-045-270.png,sustitucion,0,False,False,False,,,,,
car,car14-045-270.png,descripcion,0,True,True,False,engine vehicle wheel,,,,
car,car9-022-180.png,vivido,0,False,False,False,,,,,
car,car9-022-180.png,sustitucion,0,False,False,False,,,,,
car,car9-022-180.png,descripcion,0,True,True,False,vehicle wheel car,,,,
car,car14-045-090.png,vivido,0,True,True,False,car vehicle motor,,,,
car,car14-045-090.png,sustitucion,0,False,False,False,,,,,
car,car14-045-090.png,descripcion,0,True,True,False,vehicle horse wheel,,,,
car,__ruteo__,ruteo,0,,,,,10,8,0,2
cow,cow5-000-000.png,vivido,0,True,True,False,cow animal bovine,,,,
cow,cow5-000-000.png,sustitucion,0,False,False,False,,,,,
cow,cow5-000-000.png,descripcion,0,True,True,False,animal pet barnyard,,,,
cow,cow1-090-180.png,vivido,0,True,True,False,cow cattle heifer,,,,
cow,cow1-090-180.png,sustitucion,0,False,False,False,,,,,
cow,cow1-090-180.png,descripcion,0,True,True,False,animal cow bovine,,,,
cow,cow10-066-207.png,vivido,0,True,True,False,cow beef milk,,,,
cow,cow10-066-207.png,sustitucion,0,False,False,False,,,,,
cow,cow10-066-207.png,descripcion,0,True,True,False,cow animal vegetable,,,,
cow,cow5-090-315.png,vivido,0,True,True,False,cow bovine animal,,,,
cow,cow5-090-315.png,sustitucion,0,False,False,False,,,,,
cow,cow5-090-315.png,descripcion,0,True,True,False,animal cow barnyard,,,,
cow,cow1-090-022.png,vivido,0,True,True,False,cow bull cattle,,,,
cow,cow1-090-022.png,sustitucion,0,False,False,False,,,,,
cow,cow1-090-022.png,descripcion,0,True,True,False,cow animal farm,,,,
cow,cow9-022-000.png,vivido,0,True,True,False,cow calf cattle,,,,
cow,cow9-022-000.png,sustitucion,0,False,False,False,,,,,
cow,cow9-022-000.png,descripcion,0,True,True,False,cow animal dog,,,,
cow,cow5-066-333.png,vivido,0,True,True,False,cow udder bovine,,,,
cow,cow5-066-333.png,sustitucion,0,False,False,False,,,,,
cow,cow5-066-333.png,descripcion,0,True,True,False,animal cow vegetable,,,,
cow,__ruteo__,ruteo,0,,,,,10,7,0,3
cup,cup10-066-063.png,vivido,0,True,True,False,liquid mug pint,,,,
cup,cup10-066-063.png,sustitucion,0,False,False,False,,,,,
cup,cup10-066-063.png,descripcion,0,True,True,False,milk drink food,,,,
cup,cup4-090-022.png,vivido,0,True,True,False,glass trophy drink,,,,
cup,cup4-090-022.png,sustitucion,0,False,False,False,,,,,
cup,cup4-090-022.png,descripcion,0,True,True,False,drink mug delicious,,,,
cup,cup7-090-315.png,vivido,0,True,True,False,glass table trophy,,,,
cup,cup7-090-315.png,sustitucion,0,False,False,False,,,,,
cup,cup7-090-315.png,descripcion,0,True,True,False,drink drinking mug,,,,
cup,cup4-090-135.png,vivido,0,True,True,False,chalice cups glass,,,,
cup,cup4-090-135.png,sustitucion,0,False,False,False,,,,,
cup,cup4-090-135.png,descripcion,0,True,False,False,fruit red stall,,,,
cup,cup7-045-270.png,vivido,0,True,True,False,mug pint glass,,,,
cup,cup7-045-270.png,sustitucion,0,False,False,False,,,,,
cup,cup7-045-270.png,descripcion,0,True,True,False,drink drinking drive,,,,
cup,cup4-068-270.png,vivido,0,True,True,False,glass chalice pint,,,,
cup,cup4-068-270.png,sustitucion,0,False,False,False,,,,,
cup,cup4-068-270.png,descripcion,0,True,True,False,mug drink cupful,,,,
cup,cup10-068-090.png,vivido,0,True,True,False,mug glass pint,,,,
cup,cup10-068-090.png,sustitucion,0,False,False,False,,,,,
cup,cup10-068-090.png,descripcion,0,True,True,False,plant stall drinking,,,,
cup,cup6-090-068.png,vivido,0,True,True,False,liquid table beaker,,,,
cup,cup6-090-068.png,sustitucion,0,False,False,False,,,,,
cup,cup6-090-068.png,descripcion,0,True,True,False,drinking drink mug,,,,
cup,__ruteo__,ruteo,0,,,,,10,8,0,2
dog,dog2-066-063.png,vivido,0,True,True,False,dog puppy pet,,,,
dog,dog2-066-063.png,sustitucion,0,False,False,False,,,,,
dog,dog2-066-063.png,descripcion,0,True,True,False,pet dog canine,,,,
dog,dog7-035-045.png,vivido,0,False,False,False,,,,,
dog,dog7-035-045.png,sustitucion,0,False,False,False,,,,,
dog,dog7-035-045.png,descripcion,0,True,True,False,dog pet canine,,,,
dog,dog5-090-000.png,vivido,0,True,True,False,dog poodle canine,,,,
dog,dog5-090-000.png,sustitucion,0,False,False,False,,,,,
dog,dog5-090-000.png,descripcion,0,True,True,False,pet dog canine,,,,
dog,dog1-068-000.png,vivido,0,True,True,False,dog puppy kennel,,,,
dog,dog1-068-000.png,sustitucion,0,False,False,False,,,,,
dog,dog1-068-000.png,descripcion,0,True,True,False,canine pet dog,,,,
dog,dog9-022-000.png,vivido,0,True,True,False,dog puppy pet,,,,
dog,dog9-022-000.png,sustitucion,0,False,False,False,,,,,
dog,dog9-022-000.png,descripcion,0,True,True,False,canine bark dog,,,,
dog,dog4-090-158.png,vivido,0,True,True,False,dog cur canine,,,,
dog,dog4-090-158.png,sustitucion,0,False,False,False,,,,,
dog,dog4-090-158.png,descripcion,0,True,True,False,pet canine dog,,,,
dog,dog8-068-180.png,vivido,0,True,True,False,dog puppy poodle,,,,
dog,dog8-068-180.png,sustitucion,0,False,False,False,,,,,
dog,dog8-068-180.png,descripcion,0,True,True,False,pet dog animal,,,,
dog,__ruteo__,ruteo,0,,,,,10,7,0,3
horse,horse8-090-338.png,vivido,0,True,True,False,horse pony mule,,,,
horse,horse8-090-338.png,sustitucion,0,False,False,False,,,,,
horse,horse8-090-338.png,descripcion,0,True,True,False,animal mane horse,,,,
horse,horse10-090-000.png,vivido,0,True,True,False,horse pony mule,,,,
horse,horse10-090-000.png,sustitucion,0,False,False,False,,,,,
horse,horse10-090-000.png,descripcion,0,True,True,False,horse animal riding,,,,
horse,horse6-090-248.png,vivido,0,True,True,False,horse mare pony,,,,
horse,horse6-090-248.png,sustitucion,0,False,False,False,,,,,
horse,horse6-090-248.png,descripcion,0,True,True,False,horse animal donkey,,,,
horse,horse4-068-270.png,vivido,0,True,True,False,horse equine pony,,,,
horse,horse4-068-270.png,sustitucion,0,False,False,False,,,,,
horse,horse4-068-270.png,descripcion,0,True,True,False,animal horse pony,,,,
horse,horse9-068-090.png,vivido,0,True,True,False,horse mare donkey,,,,
horse,horse9-068-090.png,sustitucion,0,False,False,False,,,,,
horse,horse9-068-090.png,descripcion,0,True,True,False,horse animal mane,,,,
horse,horse6-090-270.png,vivido,0,True,True,False,horse pony equine,,,,
horse,horse6-090-270.png,sustitucion,0,False,False,False,,,,,
horse,horse6-090-270.png,descripcion,0,True,True,False,animal horse equine,,,,
horse,horse4-066-333.png,vivido,0,True,True,False,horse saddle donkey,,,,
horse,horse4-066-333.png,sustitucion,0,False,False,False,,,,,
horse,horse4-066-333.png,descripcion,0,True,True,False,animal horse mane,,,,
horse,horse9-045-270.png,vivido,0,True,True,False,horse mare pony,,,,
horse,horse9-045-270.png,sustitucion,0,False,False,False,,,,,
horse,horse9-045-270.png,descripcion,0,True,True,False,horse animal mane,,,,
horse,horse6-035-135.png,vivido,0,True,True,False,horse pony foal,,,,
horse,horse6-035-135.png,sustitucion,0,False,False,False,,,,,
horse,horse6-035-135.png,descripcion,0,True,True,False,animal horse riding,,,,
horse,__ruteo__,ruteo,0,,,,,10,9,0,1
pear,pear10-035-225.png,vivido,0,False,False,False,,,,,
pear,pear10-035-225.png,sustitucion,0,False,False,False,,,,,
pear,pear10-035-225.png,descripcion,0,True,True,False,pear pome fruit,,,,
pear,pear5-000-000.png,vivido,0,True,True,False,bosc seckel forelle,,,,
pear,pear5-000-000.png,sustitucion,0,False,False,False,,,,,
pear,pear5-000-000.png,descripcion,0,True,True,False,pear fruitwood vegetable,,,,
pear,pear10-022-180.png,vivido,0,True,True,False,bartlett forelle mirliton,,,,
pear,pear10-022-180.png,sustitucion,0,False,False,False,,,,,
pear,pear10-022-180.png,descripcion,0,True,True,False,pear fruit fruitwood,,,,
pear,pear4-022-180.png,vivido,0,True,True,False,seckel bosc pearmain,,,,
pear,pear4-022-180.png,sustitucion,0,False,False,False,,,,,
pear,pear4-022-180.png,descripcion,0,True,True,False,pear red green,,,,
pear,pear6-066-207.png,vivido,0,True,True,False,pome fruit fruitwood,,,,
pear,pear6-066-207.png,sustitucion,0,False,False,False,,,,,
pear,pear6-066-207.png,descripcion,0,True,True,False,pear fruit pome,,,,
pear,pear5-066-027.png,vivido,0,True,True,False,fruit pears pear,,,,
pear,pear5-066-027.png,sustitucion,0,False,False,False,,,,,
pear,pear5-066-027.png,descripcion,0,True,True,False,pear fruitwood fruit,,,,
pear,pear5-022-090.png,vivido,0,False,False,False,,,,,
pear,pear5-022-090.png,sustitucion,0,False,False,False,,,,,
pear,pear5-022-090.png,descripcion,0,True,True,False,pear pome sauce,,,,
pear,pear7-090-338.png,vivido,0,True,True,False,pear fruit pome,,,,
pear,pear7-090-338.png,sustitucion,0,False,False,False,,,,,
pear,pear7-090-338.png,descripcion,0,True,True,False,pear fruit pome,,,,
pear,pear7-090-000.png,vivido,0,True,True,False,pear pears seckel,,,,
pear,pear7-090-000.png,sustitucion,0,False,False,False,,,,,
pear,pear7-090-000.png,descripcion,0,True,True,False,pear tree fruit,,,,
pear,__ruteo__,ruteo,0,,,,,10,9,0,1
tomato,tomato7-022-180.png,vivido,0,True,True,False,tomato tomatoes vegetable,,,,
tomato,tomato7-022-180.png,sustitucion,0,False,False,False,,,,,
tomato,tomato7-022-180.png,descripcion,0,True,True,False,vegetable tomato sauce,,,,
tomato,tomato2-090-022.png,vivido,0,True,True,False,fruit tomato tomatoey,,,,
tomato,tomato2-090-022.png,sustitucion,0,False,False,False,,,,,
tomato,tomato2-090-022.png,descripcion,0,True,True,False,tomato soup vegetable,,,,
tomato,tomato2-090-225.png,vivido,0,True,True,False,vegetable tomatoey tomato,,,,
tomato,tomato2-090-225.png,sustitucion,0,False,False,False,,,,,
tomato,tomato2-090-225.png,descripcion,0,True,True,False,soup sauce vegetable,,,,
tomato,tomato1-068-000.png,vivido,0,True,True,False,tomato sofrito vegetable,,,,
tomato,tomato1-068-000.png,sustitucion,0,False,False,False,,,,,
tomato,tomato1-068-000.png,descripcion,0,True,True,False,tomato vegetable sauce,,,,
tomato,tomato6-068-270.png,vivido,0,True,True,False,sauce sofrito herb,,,,
tomato,tomato6-068-270.png,sustitucion,0,False,False,False,,,,,
tomato,tomato6-068-270.png,descripcion,0,True,True,False,soup sauce vegetable,,,,
tomato,tomato10-035-225.png,vivido,0,False,False,False,,,,,
tomato,tomato10-035-225.png,sustitucion,0,False,False,False,,,,,
tomato,tomato10-035-225.png,descripcion,0,True,True,False,tomato vegetable sauce,,,,
tomato,tomato8-090-135.png,vivido,0,True,True,False,tomato tomatoey tomatoes,,,,
tomato,tomato8-090-135.png,sustitucion,0,False,False,False,,,,,
tomato,tomato8-090-135.png,descripcion,0,True,True,False,soup sauce vegetable,,,,
tomato,tomato4-035-045.png,vivido,0,True,True,False,tomato vegetable fruit,,,,
tomato,tomato4-035-045.png,sustitucion,0,False,False,False,,,,,
tomato,tomato4-035-045.png,descripcion,0,True,True,False,vegetable tomato sauce,,,,
tomato,tomato5-066-207.png,vivido,0,True,True,False,tomato vegetable sofrito,,,,
tomato,tomato5-066-207.png,sustitucion,0,False,False,False,,,,,
tomato,tomato5-066-207.png,descripcion,0,True,True,False,tomato ketchup sauce,,,,
tomato,__ruteo__,ruteo,0,,,,,10,9,0,1
